logical_id,naptan_tube,station_name,name_key,fare_zone,lift_count,step_free_platform_count,accessible_toilet_count,accessibility_type,ramp_platform_count,mean_gap_mm,crowding_peak,crowding_evening,has_planned_closure,has_live_lift_issue,predicted_temp_c,pac_score
940GZZLUUXB,940GZZLUUXB,Uxbridge Underground Station,uxbridge,6,0.0,0.0,1.0,1.0,8.0,85.0,0.1573333333333333,0.1705,0,0,27.1,
HUBVXH,940GZZLUVXL,Vauxhall Underground Station,vauxhall,1+2,6.0,2.0,0.0,3.0,0.0,42.5,0.4211666666666666,0.3985,0,0,30.0,
HUBVIC,940GZZLUVIC,Victoria Underground Station,victoria,1,6.0,2.0,2.0,3.0,4.0,42.5,0.091,0.0885,0,0,30.0,
HUBWHC,940GZZLUWWL,Walthamstow Central Underground Station,walthamstow central,3,0.0,0.0,0.0,0.0,0.0,,0.3869999999999999,0.3176666666666666,0,0,30.0,
940GZZLUWSD,940GZZLUWSD,Wanstead Underground Station,wanstead,4,0.0,0.0,0.0,0.0,0.0,,0.2686666666666666,0.223,0,0,30.1,
940GZZLUWRR,940GZZLUWRR,Warren Street Underground Station,warren street,1,0.0,0.0,0.0,0.0,0.0,,0.4059999999999999,0.3685,0,0,30.0,
940GZZLUWKA,940GZZLUWKA,Warwick Avenue Underground Station,warwick avenue,2,0.0,0.0,0.0,0.0,0.0,,0.2496666666666666,0.2366666666666667,0,0,30.0,
HUBWAT,940GZZLUWLO,Waterloo Underground Station,waterloo,1,4.0,0.0,1.0,2.0,1.0,42.5,0.5043333333333334,0.4893333333333333,0,0,30.0,
940GZZLUWAF,940GZZLUWAF,Watford Underground Station,watford,7,0.0,0.0,0.0,0.0,0.0,,0.1613333333333333,0.1263333333333333,0,0,25.2,
HUBWMB,940GZZLUWYC,Wembley Central Underground Station,wembley central,4,4.0,0.0,1.0,2.0,2.0,125.0,0.1216666666666666,0.1231666666666666,0,0,30.0,
940GZZLUWYP,940GZZLUWYP,Wembley Park Underground Station,wembley park,4,5.0,6.0,1.0,3.0,0.0,42.5,0.0,0.0,0,0,25.9,
940GZZLUWTA,940GZZLUWTA,West Acton Underground Station,west acton,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,30.1,
HUBWBP,940GZZLUWBN,West Brompton Underground Station,west brompton,2,2.0,0.0,0.0,2.0,0.0,42.5,0.2423333333333333,0.288,0,0,25.2,
940GZZLUWFN,940GZZLUWFN,West Finchley Underground Station,west finchley,4,0.0,0.0,0.0,1.0,1.0,94.8,0.1448333333333333,0.0705,0,0,27.9,
HUBWEH,940GZZLUWHM,West Ham Underground Station,west ham,2/3,5.0,0.0,0.0,2.0,0.0,42.5,0.6576666666666667,0.6765,0,0,25.9,
HUBWHD,940GZZLUWHP,West Hampstead Underground Station,west hampstead,2,0.0,0.0,0.0,0.0,0.0,,0.3961666666666666,0.3793333333333333,0,0,25.9,
940GZZLUWHW,940GZZLUWHW,West Harrow Underground Station,west harrow,5,0.0,0.0,1.0,0.0,0.0,,0.2306666666666666,0.1831666666666666,0,0,25.2,
940GZZLUWKN,940GZZLUWKN,West Kensington Underground Station,west kensington,2,0.0,0.0,0.0,0.0,0.0,,0.2789999999999999,0.2631666666666666,0,0,25.2,
HUBWRU,940GZZLUWRP,West Ruislip Underground Station,west ruislip,6,0.0,0.0,0.0,0.0,0.0,,0.1576666666666666,0.1278333333333333,0,0,30.1,
940GZZLUWSP,940GZZLUWSP,Westbourne Park Underground Station,westbourne park,2,0.0,0.0,0.0,0.0,0.0,,0.2023333333333333,0.2106666666666666,0,0,25.2,
HUBWSM,940GZZLUWSM,Westminster Underground Station,westminster,1,4.0,0.0,0.0,2.0,4.0,42.5,0.0981666666666666,0.1096666666666666,0,0,25.9,
940GZZLUWCY,940GZZLUWCY,White City Underground Station,white city,2,0.0,0.0,0.0,0.0,0.0,,0.0231666666666666,0.0363333333333333,0,0,30.1,
HUBZWL,940GZZLUWPL,Whitechapel Underground Station,whitechapel,2,8.0,0.0,1.0,2.0,0.0,,0.4798333333333333,0.5743333333333334,0,0,25.2,
940GZZLUWIG,940GZZLUWIG,Willesden Green Underground Station,willesden green,2+3,0.0,0.0,1.0,0.0,0.0,,0.3005,0.2523333333333333,0,0,25.9,
HUBWIJ,940GZZLUWJN,Willesden Junction Underground Station,willesden junction,2+3,2.0,0.0,1.0,2.0,2.0,,0.0,0.0,0,0,30.0,
940GZZLUWIP,940GZZLUWIP,Wimbledon Park Underground Station,wimbledon park,3,1.0,0.0,0.0,2.0,2.0,,0.2366666666666666,0.1878333333333333,0,0,25.2,
HUBWIM,940GZZLUWIM,Wimbledon Underground Station,wimbledon,3,4.0,4.0,1.0,3.0,0.0,42.5,0.3085,0.2776666666666667,0,0,25.2,
940GZZLUWOG,940GZZLUWOG,Wood Green Underground Station,wood green,3,0.0,0.0,0.0,0.0,0.0,,0.181,0.1866666666666666,0,0,27.1,
940GZZLUWLA,940GZZLUWLA,Wood Lane Underground Station,wood lane,2,4.0,0.0,1.0,2.0,0.0,95.0,0.1856666666666666,0.2836666666666667,0,0,25.2,
940GZZLUWOF,940GZZLUWOF,Woodford Underground Station,woodford,4,0.0,0.0,0.0,1.0,3.0,,0.3713333333333333,0.2756666666666666,0,0,30.1,
940GZZLUWOP,940GZZLUWOP,Woodside Park Underground Station,woodside park,4,0.0,2.0,0.0,3.0,0.0,42.5,0.1463333333333333,0.0915,0,0,27.9,
