logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
HUBVIC,940GZZLUVIC,Victoria Underground Station,victoria,1,circle;district;victoria,51.496359,-0.143102
HUBWHC,940GZZLUWWL,Walthamstow Central Underground Station,walthamstow central,3,victoria,51.582965,-0.019885
940GZZLUWSD,940GZZLUWSD,Wanstead Underground Station,wanstead,4,central,51.575501,0.028527
940GZZLUWRR,940GZZLUWRR,Warren Street Underground Station,warren street,1,northern;victoria,51.524951,-0.138321
940GZZLUWKA,940GZZLUWKA,Warwick Avenue Underground Station,warwick avenue,2,bakerloo,51.523263,-0.183783
HUBWAT,940GZZLUWLO,Waterloo Underground Station,waterloo,1,bakerloo;jubilee;northern;waterloo-city,51.503299,-0.11478
940GZZLUWAF,940GZZLUWAF,Watford Underground Station,watford,7,metropolitan,51.657446,-0.417377
HUBWMB,940GZZLUWYC,Wembley Central Underground Station,wembley central,4,bakerloo,51.552304,-0.296852
940GZZLUWYP,940GZZLUWYP,Wembley Park Underground Station,wembley park,4,jubilee;metropolitan,51.563198,-0.279262
940GZZLUWTA,940GZZLUWTA,West Acton Underground Station,west acton,3,central,51.518001,-0.28098
HUBWBP,940GZZLUWBN,West Brompton Underground Station,west brompton,2,district,51.487268,-0.195599
940GZZLUWFN,940GZZLUWFN,West Finchley Underground Station,west finchley,4,northern,51.609426,-0.188362
HUBWEH,940GZZLUWHM,West Ham Underground Station,west ham,2/3,district;hammersmith-city;jubilee,51.528136,0.005055
HUBWHD,940GZZLUWHP,West Hampstead Underground Station,west hampstead,2,jubilee,51.546638,-0.191059
940GZZLUWHW,940GZZLUWHW,West Harrow Underground Station,west harrow,5,metropolitan,51.57971,-0.3534
940GZZLUWKN,940GZZLUWKN,West Kensington Underground Station,west kensington,2,district,51.490459,-0.206636
HUBWRU,940GZZLUWRP,West Ruislip Underground Station,west ruislip,6,central,51.569688,-0.437886
940GZZLUWSP,940GZZLUWSP,Westbourne Park Underground Station,westbourne park,2,circle;hammersmith-city,51.52111,-0.201065
HUBWSM,940GZZLUWSM,Westminster Underground Station,westminster,1,circle;district;jubilee,51.50132,-0.124861
940GZZLUWCY,940GZZLUWCY,White City Underground Station,white city,2,central,51.511959,-0.224297
HUBZWL,940GZZLUWPL,Whitechapel Underground Station,whitechapel,2,district;hammersmith-city,51.519518,-0.059971
940GZZLUWIG,940GZZLUWIG,Willesden Green Underground Station,willesden green,2+3,jubilee;metropolitan,51.549146,-0.221537
HUBWIJ,940GZZLUWJN,Willesden Junction Underground Station,willesden junction,2+3,bakerloo,51.532259,-0.244283
940GZZLUWIP,940GZZLUWIP,Wimbledon Park Underground Station,wimbledon park,3,district,51.434573,-0.199719
HUBWIM,940GZZLUWIM,Wimbledon Underground Station,wimbledon,3,district,51.421207,-0.206573
940GZZLUWOG,940GZZLUWOG,Wood Green Underground Station,wood green,3,piccadilly,51.597479,-0.109886
940GZZLUWLA,940GZZLUWLA,Wood Lane Underground Station,wood lane,2,circle;hammersmith-city,51.509669,-0.22453
940GZZLUWOF,940GZZLUWOF,Woodford Underground Station,woodford,4,central,51.606899,0.03397
940GZZLUWOP,940GZZLUWOP,Woodside Park Underground Station,woodside park,4,northern,51.618014,-0.18542
