route_id,min_step_free,min_accessibility,max_gap_mm,min_lift_count,any_lift_issue,any_closure,mean_crowding_peak,route_temp,num_interchanges,zone_span,goal,pac_formula,human_label_1to5,label_good,mean_accessibility,prop_stepfree
R344,0.0,0.0,94.8,0.0,0,0,0.2819912280701754,30.1,5,3.0,accessibility,0.3244,3.0,0,1.3157894736842106,0.5263157894736842
R345,0.0,0.0,95.0,0.0,0,0,0.19881666666666667,30.0,3,4.0,comfort,0.3702,2.0,0,1.35,0.55
R346,0.0,0.0,95.0,0.0,0,0,0.20365873015873015,30.0,3,4.0,punctuality,0.3695,2.5,0,1.2857142857142858,0.5238095238095238
R347,0.0,0.0,77.2,0.0,0,0,0.23027499999999995,30.1,2,4.0,accessibility,0.3821,4.0,1,0.8,0.35
R348,0.0,0.0,65.8,0.0,0,0,0.22998412698412693,30.1,3,4.0,comfort,0.3655,4.0,1,0.9047619047619048,0.38095238095238093
R349,0.0,0.0,51.7,0.0,0,0,0.2489047619047619,30.0,3,1.0,punctuality,0.3627,3.0,0,1.4285714285714286,0.6428571428571429
R350,0.0,0.0,51.7,0.0,0,0,0.22458333333333333,30.0,2,1.0,accessibility,0.383,5.0,1,1.2857142857142858,0.5714285714285714
R351,0.0,0.0,42.5,0.0,0,0,0.30223333333333335,30.0,1,2.0,comfort,0.388,2.0,0,1.2,0.4
R352,0.0,0.0,42.5,0.0,0,0,0.29684848484848486,30.0,1,2.0,punctuality,0.3888,3.0,0,1.0909090909090908,0.36363636363636365
R353,0.0,0.0,91.8,0.0,0,0,0.2502333333333333,30.0,1,3.0,accessibility,0.3958,2.0,0,2.1,0.8
R354,0.0,0.0,91.8,0.0,0,0,0.25480303030303025,30.0,1,3.0,comfort,0.3951,4.0,1,1.9090909090909092,0.7272727272727273
R355,0.0,0.0,118.0,0.0,0,0,0.2442959770114943,30.1,3,5.0,punctuality,0.3634,3.0,0,1.2413793103448276,0.5862068965517241
R356,0.0,0.0,118.0,0.0,0,0,0.23255459770114945,30.1,4,5.0,accessibility,0.3485,1.0,0,1.1724137931034482,0.5517241379310345
R357,0.0,0.0,77.2,0.0,0,0,0.28178571428571425,30.0,2,1.0,comfort,0.3744,3.0,0,0.8571428571428571,0.42857142857142855
R358,0.0,0.0,42.0,0.0,0,0,0.2870208333333333,30.0,0,1.0,punctuality,0.4069,5.0,1,0.625,0.25
R359,0.0,0.0,91.8,0.0,0,0,0.13974999999999999,25.9,1,2.0,accessibility,0.4124,4.0,1,1.5,0.75
R360,0.0,0.0,91.8,0.0,0,0,0.17891666666666664,25.9,1,2.0,comfort,0.4065,5.0,1,1.0,0.5
R361,0.0,0.0,65.8,0.0,0,0,0.19664197530864194,30.1,3,4.0,punctuality,0.3705,4.0,1,0.5925925925925926,0.25925925925925924
R362,0.0,0.0,65.8,0.0,0,0,0.19424999999999998,30.1,3,4.0,accessibility,0.3709,2.0,0,0.75,0.2857142857142857
R363,0.0,0.0,118.0,0.0,0,0,0.258154761904762,30.1,5,5.0,comfort,0.3279,2.5,0,1.3142857142857143,0.5428571428571428
R364,0.0,0.0,118.0,0.0,0,0,0.2484261904761905,30.1,6,5.0,punctuality,0.3127,2.0,0,1.2571428571428571,0.5142857142857142
R365,0.0,0.0,42.5,0.0,0,0,0.1936190476190476,30.1,4,0.0,accessibility,0.3543,1.0,0,1.4285714285714286,0.5714285714285714
R366,0.0,0.0,42.5,0.0,0,0,0.2626428571428571,30.1,3,0.0,comfort,0.3606,3.0,0,1.8571428571428572,0.7142857142857143
R367,0.0,0.0,118.0,0.0,0,0,0.245814393939394,30.1,3,3.0,punctuality,0.3631,2.0,0,1.4090909090909092,0.5909090909090909
R368,0.0,0.0,118.0,0.0,0,0,0.23033712121212124,30.1,4,3.0,accessibility,0.3488,2.0,0,1.3181818181818181,0.5454545454545454
R369,0.0,0.0,77.2,0.0,0,0,0.25145833333333334,30.1,1,2.0,comfort,0.3956,3.0,0,1.1875,0.5
R370,0.0,0.0,42.5,0.0,0,0,0.23807843137254903,30.1,4,2.0,punctuality,0.3476,1.0,0,1.1764705882352942,0.47058823529411764
R371,0.0,0.0,42.5,0.0,0,0,0.25538888888888883,30.1,3,3.0,accessibility,0.3617,3.0,0,1.0416666666666667,0.4583333333333333
R372,0.0,0.0,42.5,0.0,0,0,0.2587666666666666,30.1,5,3.0,comfort,0.3279,3.0,0,1.08,0.48
R373,0.0,0.0,118.0,0.0,0,0,0.21695833333333334,30.1,4,4.0,punctuality,0.3508,2.0,0,1.1666666666666667,0.4666666666666667
R374,0.0,0.0,118.0,0.0,0,0,0.22038055555555552,30.1,2,4.0,accessibility,0.3836,2.0,0,1.2666666666666666,0.5
R375,0.0,0.0,42.5,0.0,0,0,0.23691666666666666,30.1,0,1.0,comfort,0.4145,3.0,0,1.5,0.5
R376,0.0,0.0,42.5,0.0,0,0,0.24191666666666664,30.1,3,1.0,punctuality,0.3637,1.0,0,1.5,0.5
R377,0.0,0.0,77.2,0.0,0,0,0.23891666666666667,30.1,2,1.0,accessibility,0.3808,2.0,0,1.6,0.6
R378,0.0,0.0,77.2,0.0,0,0,0.23843939393939395,30.1,2,1.0,comfort,0.3809,3.0,0,1.4545454545454546,0.5454545454545454
R379,0.0,0.0,118.0,0.0,0,0,0.21667105263157893,30.0,3,2.0,punctuality,0.3675,4.0,1,1.0526315789473684,0.42105263157894735
R380,0.0,0.0,118.0,0.0,0,0,0.21857916666666663,30.0,4,2.0,accessibility,0.3505,3.0,0,1.0,0.4
R381,0.0,0.0,94.8,0.0,0,0,0.2913589743589743,30.0,0,3.0,comfort,0.4063,1.0,0,1.2307692307692308,0.46153846153846156
R382,0.0,0.0,94.8,0.0,0,0,0.28790476190476183,30.0,0,3.0,punctuality,0.4068,3.0,0,1.1428571428571428,0.42857142857142855
R383,0.0,0.0,86.5,0.0,0,0,0.28874999999999995,30.1,2,4.0,accessibility,0.3734,1.0,0,0.875,0.5
R384,0.0,0.0,86.5,0.0,0,0,0.2990350877192982,30.1,1,4.0,comfort,0.3885,4.0,1,1.0,0.5263157894736842
R385,0.0,0.0,42.5,0.0,0,0,0.3298333333333333,30.0,1,0.0,punctuality,0.3839,4.0,1,1.75,0.75
R386,0.0,0.0,42.5,0.0,0,0,0.3386666666666666,30.0,2,0.0,accessibility,0.3659,1.0,0,1.4,0.6
R387,0.0,0.0,77.2,0.0,0,0,0.2562307692307692,30.1,5,1.0,comfort,0.3282,4.0,1,1.3846153846153846,0.5384615384615384
R388,0.0,0.0,77.2,0.0,0,0,0.2505769230769231,30.0,2,1.0,punctuality,0.3791,4.0,1,1.3846153846153846,0.5384615384615384
